animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes
aardvark,1,0,0,1,0,0,1,1,1,1
antelope,,0,0,,0,0,,1,1,1
bass,0,,1,0,0,1,1,1,1,0
bear,1,0,0,1,0,0,1,1,1,1
boar,1,0,0,1,,0,1,1,1,1
buffalo,1,0,,1,0,0,0,,1,1
calf,1,0,0,1,0,0,0,1,1,1
carp,0,0,1,0,0,1,0,1,1,0
catfish,0,0,1,0,0,1,1,,1,0
cavy,1,,0,,0,0,0,1,1,1
cheetah,1,0,0,1,0,0,1,1,1,1
chicken,0,1,1,0,1,0,0,0,1,1
chub,0,0,1,0,0,1,1,1,1,0
clam,0,0,1,0,0,0,1,0,0,0
crab,0,0,1,0,0,1,1,0,0,0
crayfish,0,0,1,0,0,1,1,0,0,0
crow,0,1,1,0,1,0,1,0,1,1
deer,1,0,0,1,0,0,0,1,1,1
dogfish,0,0,1,0,0,1,1,1,1,0
dolphin,0,0,0,1,0,1,1,1,1,1
dove,0,1,1,0,1,0,0,0,1,1
duck,0,1,1,0,1,1,0,0,1,1
elephant,1,0,0,1,0,0,0,1,1,1
